"","roots","detritus","bacteria","fungi","Bacterivore.nematodes","Fungivore.nematodes","Herbivore.nematodes","Omnivore.nematodes","Predator.nematodes","Protura","Pauropoda","Symphyla","Oribatida","Mesostigmata","Prostigmata","Edaphic.Entomobryomorpha","Edaphic.Neelipleona","Edaphic.Poduromorpha","Epigeic.Symphypleona","Epigeic.Entomobryomorpha","Epigeic.Poduromorpha","Thysanoptera","Chilopoda","Diplopoda","Isopoda","Araneae","Staphylinidae","Hemiptera","Gastropoda","Coleoptera","Diptera.larvae"
"roots",0,0,0,0,0,0,1,0,0,0,0.333333333333333,0.333333333333333,0,0,0.25,0,0,0,0.333333333333333,0.333333333333333,0,0.5,0,0,0,0,0,1,0.1,0.25,0.1
"detritus",0,0,0,0,0,0,0,0,0,0.1,0.333333333333333,0.333333333333333,0.25,0,0.25,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0,0.75,0.333333333333333,0,0,0,0.3,0.25,0.3
"bacteria",0,0,0,0,1,0,0,0.25,0,0,0,0,0.25,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0.125,0.333333333333333,0,0,0,0.3,0,0
"fungi",0,0,0,0,0,1,0,0.25,0,0.9,0.333333333333333,0,0.25,0,0.25,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0,0.125,0.333333333333333,0,0.2,0,0.3,0.25,0.3
"Bacterivore.nematodes",0,0,0,0,0,0,0,0.197332057565629,0.220504521707063,0,0,0.0034618510076218,0.0268754710222604,0.0925228393085137,0.0329420306489338,0,0,0,0,0,0.0336792182982655,0,0,0,0,0,0,0,0,0,0.000230519090266754
"Fungivore.nematodes",0,0,0,0,0,0,0,0.10844786138196,0.335443555490343,0,0,0.000679927745404654,0.0289238342803818,0.128929586879012,0.0504736900988978,0,0,0,0,0,0.031987511569301,0,0,0,0,0,0,0,0,0,2.27867567251055e-07
"Herbivore.nematodes",0,0,0,0,0,0,0,0.144183592580424,0.132019941358441,0,0,0.00319625177644472,0.0170309133277327,0.0566765368508923,0.0198418682004945,0,0,0,0,0,0.0218980437952789,0,0,0,0,0,0,0,0,0,0.000439857014953642
"Omnivore.nematodes",0,0,0,0,0,0,0,0.00148552189902923,0.309664030598899,0,0,0.0118652883227342,0.0532744376321491,0.143088929893149,0.0434518034415875,0,0,0,0,0,0.0713288915808808,0,0,0,0,0,0,0,0,0,0.00178444640689097
"Predator.nematodes",0,0,0,0,0,0,0,0.0485509665729584,0.00236795084525429,0,0,0.0209402195580958,0.123895343737476,0.145946240311645,0.0271907517018892,0,0,0,0,0,0.174439668089607,0,0,0,0,0,0,0,0,0,0.000888950775919087
"Protura",0,0,0,0,0,0,0,0,0,0,0,0.0720217019020971,0,0.019370491010259,0.0020338234240586,0,0,0,0,0,0,0,0.0100077822102373,0,0,0.0178853460721517,0.0340203862704839,0,0,0.00550462203144569,0.00343704612350376
"Pauropoda",0,0,0,0,0,0,0,0,0,0,0,0.0579094453217873,0,0.0335731283752049,0.00409431652029881,0,0,0,0,0,0,0,0.00900291463741954,0,0,0.0162123648344862,0.0295579286931794,0,0,0.00478815144368772,0.00247624687015799
"Symphyla",0,0,0,0,0,0,0,0,0,0,0,0.000170222134460912,0,0.00066013475446508,5.43502519270286e-05,0,0,0,0,0,0,0,0.0665899275891892,0,0,0.0285032832657415,0.0661732998308973,0,0,0.0183295478121009,0.0309612170574152
"Oribatida",0,0,0,0,0,0,0,0,0,0,0,0.0168205155759268,0,0.0149946849586721,0.00208337403112594,0,0,0,0,0,0,0,0.00642909173364196,0,0,0.00743710443820711,0.0101569206205986,0,0,0.00190313575506688,0.00294721424539346
"Mesostigmata",0,0,0,0,0,0,0,0,0,0,0,0.0201913819803968,0,0.000973483519647218,0.0172687461254478,0,0,0,0,0,0,0,0.00911231828512647,0,0,0.0117203129479273,0.0144354790665256,0,0,0.00264080047403767,0.00237873295384784
"Prostigmata",0,0,0,0,0,0,0,0,0,0,0,0.00908422291444164,0,0.117851773394611,0.000305409398564903,0,0,0,0,0,0,0,0.00464184046422969,0,0,0.0120859264697099,0.00941585154185139,0,0,0.00157456721687472,0.000740071272022186
"Edaphic.Entomobryomorpha",0,0,0,0,0,0,0,0,0,0,0,0.0497763221770566,0,0.041724285165695,0.0063496165807319,0,0,0,0,0,0,0,0.0318597649344828,0,0,0.0261291894427433,0.0367978949180604,0,0,0.00773836477933804,0.0164732808358463
"Edaphic.Neelipleona",0,0,0,0,0,0,0,0,0,0,0,0.000944886791218184,0,0.113916885607403,0.0223638856024607,0,0,0,0,0,0,0,8.65232373617915e-05,0,0,0.00112915033301702,0.000758289998257562,0,0,6.80752161002644e-05,4.89181780684176e-09
"Edaphic.Poduromorpha",0,0,0,0,0,0,0,0,0,0,0,0.0298803149648417,0,0.0452224959725015,0.00631353641080892,0,0,0,0,0,0,0,0.0082203489693751,0,0,0.0129608814497838,0.0166417635010127,0,0,0.00282341110608763,0.00228646986170342
"Epigeic.Symphypleona",0,0,0,0,0,0,0,0,0,0,0,0.00222752083574852,0,0.0352951311002987,0.0128936560396391,0,0,0,0,0,0,0,0.00108525943956635,0,0,0.0172766105474078,0.00625708437372416,0,0,0.000912463515475386,0.00019152230876295
"Epigeic.Entomobryomorpha",0,0,0,0,0,0,0,0,0,0,0,0.0191889218403888,0,0.00136127170708416,0.000239301656603348,0,0,0,0,0,0,0,0.0188735656464565,0,0,0.102635740346292,0.0571468553406786,0,0,0.0115685337191399,0.0675887190686426
"Epigeic.Poduromorpha",0,0,0,0,0,0,0,0,0,0,0,0.0149743384846678,0,0.00789210119094493,0.00209983986653,0,0,0,0,0,0,0,0.0119918267262999,0,0,0.0762617990791988,0.0375648083324347,0,0,0.00723152633157768,0.0207867550840159
"Thysanoptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0880883177595822,0,0,0.225471751372359,0.115521195108481,0,0,0.0304814411809786,0.0830907531485729
"Chilopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00382818915164279,0,0,0.0938032709332261,0.0545284636281485,0,0,0.0252856033078113,0.00220606667292978
"Diplopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0500011177630353,0,0,0.0182200671521923,0.00710034096944504,0,0,0.00357667654000281,3.35092795839672e-05
"Isopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00847749524291417,0,0,0.00608370942800704,0.000418557711380278,0,0,0.000305440500813237,2.56028405026041e-19
"Araneae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286435126289682,0,0,0.0033097537850651,0.117816023577274,0,0,0.0484824972664224,0.0318746436288662
"Staphylinidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0707627665854112,0,0,0.038442596436313,0.000318771921536795,0,0,0.0134847083416247,0.00591233970062808
"Hemiptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120431926756124,0,0,0.137197176188831,0.0707872898622122,0,0,0.0277650739874293,0.0206884644772249
"Gastropoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147763027935828,0,0,0.00762617537174211,0.00237876831969997,0,0,0.00121815926967694,5.49270546876446e-06
"Coleoptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0618632173005678,0,0,0.0306981123104605,0.0234257373806129,0,0,0.000103063909934579,0.00256636164165024
"Diptera.larvae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117434376484071,0,0,0.108909677795137,0.0887782890335044,0,0,0.0342141362943737,1.10870163480123e-05
